ext_id,title,image_link
941170037,1950's Crew Sweatshirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/941170037-front-pdp.jpg
327340001,Boyfriend Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/327340001-front-pdp.jpg
188840016,712 Slim Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/188840016-front-pdp.jpg
198320003,One Pocket Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/198320003-front-pdp.jpg
905010119,á1890 501® JEANS,http://lsco.scene7.com/is/image/lsco/Levi/clothing/905010119-front-pdp.jpg
771280185,High Sancho Boots,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771280185-2014-fall-front-pdp.jpg
664660015,1966 501 Customized Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/664660015-front-pdp.jpg
264510001,Zip Front Hoodie,http://lsco.scene7.com/is/image/lsco/Levi/clothing/264510001-front-pdp.jpg
195730055,Jackson Worker Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/195730055-front-pdp.jpg
296710013,The Authentic Vintage Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/296710013-front-pdp.jpg
172690061,Tailored Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/172690061-front-pdp.jpg
781900182,Levi's® Rudgear Underwear,http://lsco.scene7.com/is/image/lsco/Levi/accessories/781900182-Levis-Rudgear-Underwear-Deep-Colbalt-Stripe-2013-fall-front-pdp.jpg
771360149,Wool Turn Up Beanie,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771360149-Wool-Turn-Up-Beanie-Rifle-Green-2013-fall-front-pdp.jpg
771290098,Buffalo Leather Clog Heels,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771290098-Buffalo-Leather-Clog-Heels-Black-2013-spring-front-pdp.jpg
665320001,Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/665320001-Western-Shirt-Denim-Mash-2013-fall-front-pdp.jpg
103630003,Pencil Skirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/103630003-Pencil-Skirt-Unique-Blue-2012-spring-front-pdp.jpg
771350339,Plaque Stones Belt,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771350339-2013-fall-front-pdp.jpg
771340489,Reversable Colored Belt,http://lsco.scene7.com/is/image/lsco/Levi/Belts/771340489-Reversable-Colored-Belt-Brown-2013-spring-front-pdp.jpg
771380628,Denim Striped Scarf,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380628-Denim-Striped-Scarf-Navy-Blue-2014-spring-front-pdp.jpg
771341090,Embossed Colored Belt,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771341090-2014-fall-front-pdp.jpg
771700174,Tech Backpack,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771700174-Tech-Backpack-Black-2014-spring-front-pdp.jpg
658260047,Classic One Pocket Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658260047-2014-fall-front-pdp.jpg
45111820,511™ Slim Fit Corduroy Pants,http://lsco.scene7.com/is/image/lsco/Levi/clothing/045111820-front-pdp.jpg
224910216,Levi's® Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/224910216-front-pdp.jpg
771380164,Brecken Slouchy Beanie,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380164-front-pdp.jpg
771350694,Embossed Floral Belt,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771350694-front-pdp.jpg
154360006,Revel Demi Curve Skinny Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/154360006-Revel-Demi-Curve-Skinny-Jeans-Novelty-2014-spring-front-pdp.jpg
168820030,522™ Slim Taper Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/168820030-front-pdp.jpg
323170024,501® Shorts,http://lsco.scene7.com/is/image/lsco/Levi/clothing/323170024-front-pdp.jpg
211740000,Levis® x Pendleton® Trucker Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/211740000-front-pdp.jpg
196320008,315 Shaping Boot Cut Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/196320008-front-pdp.jpg
195530020,601 Pin Skinny Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/195530020-front-pdp.jpg
189290001,The Wool Trucker Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/189290001-front-pdp.jpg
771380943,Chunky Ribbed Beanie,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380943-front-pdp.jpg
300810008,519 Cords,http://lsco.scene7.com/is/image/lsco/Levi/clothing/300810008-front-pdp.jpg
773190448,Levi's® 168 Series 2 Pack Stripe Socks,http://lsco.scene7.com/is/image/lsco/Levi/accessories/773190448-2015-spring-front-pdp.jpg
296430000,Orange Tab 70'S Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/296430000-front-pdp.jpg
5012439,501® Original Fit Selvedge Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/005012439-front-pdp.jpg
QAH220068,Classic Aviator,http://lsco.scene7.com/is/image/lsco/Levi/clothing/QAH220068-2013-spring-front-pdp.jpg
771380441,Chambray Oblong,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380441-Chambray-Oblong-Black-2014-spring-front-pdp.jpg
771740070,Vintage Clasp Necklace,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771740070-Vintage-Clasp-Necklace-Red-2013-fall-front-pdp.jpg
771270995,Canvas Low Cut Sneaker,http://lsco.scene7.com/is/image/lsco/Levi/shoes/771270995-Canvas-Low-Cut-Sneaker-Green-2013-spring-front-pdp.jpg
508330013,Tailored Collar Tip Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/508330013-Tailored-Collar-Tip-Western-Shirt-Tornado-Grey-2013-fall-front-pdp.jpg
771290132,Oxford Heels,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771290132-Oxford-Heels-Dark-Brown-2013-fall-front-pdp.jpg
781900184,Levi's® Solano Underwear,http://lsco.scene7.com/is/image/lsco/Levi/accessories/781900184-Levis-Solano-Underwear-Red-2013-fall-front-pdp.jpg
55200081,520™ Extreme Taper Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/055200081-520-Extreme-Taper-Jeans-Fogged-Black-2012-fall-front-pdp.jpg
172600002,Elza Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/172600002-front-pdp.jpg
668700005,Outwest Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/668700005-2014-fall-front-pdp.jpg
771710213,Straw Saddle Bag,http://lsco.scene7.com/is/image/lsco/Levi//771710213-2015-spring-front-pdp.jpg
QAA221401,Leather Belt,http://lsco.scene7.com/is/image/lsco/Levi/accessories/QAA221401-Leather-Belt-Black-2012-fall-front-pdp.jpg
771700263,Crafted Leather Backpack,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771700263-2014-fall-front-pdp.jpg
770740033,Authentic Trucker Vest,http://lsco.scene7.com/is/image/lsco/Levi/clothing/770740033-front-pdp.jpg
781920108,Two-Pack Levi's® Forbes Socks,http://lsco.scene7.com/is/image/lsco/Levi/accessories/781920108-Two-Pack-Levis-Forbes-Socks-Royal-Blue-and-Red-2014-spring-front-pdp.jpg
5040223,504™ Regular Straight Fit Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/005040223-2012-fall-front-pdp.jpg
