ext_id,title,link,predicted_ontology
P22325098,Navy Regular Fit Trousers,http://www.marksandspencer.com/ultimate-performance-supercrease-active-waistband-trousers-with-wool/p/p22325098,unisex>bottomwear>pants>trousers
P22247227,Flexilite Abstract Animal Print Umbrella with Stormwear&trade;,http://www.marksandspencer.com/flexilite-abstract-animal-print-umbrella-with-stormwear/p/p22247227,unisex>accessories>umbrellas
P60105337,2 Pack Senior Boys' Skinny Fit Shirts,http://www.marksandspencer.com/senior-boys-2-pack-long-sleeve-shirts/p/p60105337,boys>topwear>shirts
P22286361,3 Pack Pure Cotton Easy to Iron Woven Boxers,http://www.marksandspencer.com/3-pack-pure-cotton-easy-to-iron-woven-boxers/p/p22286361,men>underwear_&_socks>underwear
P22325097,Navy Regular Fit Jacket,http://www.marksandspencer.com/ultimate-performance-2-button-jacket-with-wool/p/p22325097,unisex>outerwear>jackets&coats>others
P22459620,Gold Plated Slim Pear Drop Earrings,http://www.marksandspencer.com/gold-plated-slim-pear-drop-earrings/p/p22459620,women>accessories>jewelry>earrings
P22371413,Mid Rise Straight Leg Jeans,http://www.marksandspencer.com/straight-leg-denim-jeans/p/p22371413,unisex>bottomwear>pants>straight_leg
P20110545,10 Denier Matt Stockings,http://www.marksandspencer.com/10-denier-ladder-resist-matt-stocking-tights-1-pair-pack/p/p20110545,women>underwear_&_socks>socks
P60100701,2 Pack Boys' Regular Leg Trousers,http://www.marksandspencer.com/boys-2-pack-trousers-with-crease-resistant/p/p60100701,boys>bottomwear>pants>trousers
P22467177,Wide Fit Leather Wedge Ruched Ankle Boots,http://www.marksandspencer.com/leather-strap-ruched-boot/p/p22467177,women>shoes>boots>others
P22480642,Pure Cotton Bodysuit (0-3 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-0-3-years-/p/p22480642,kids>topwear>bodysuits
P22469385,Mid Rise Skinny Leg Jeans,http://www.marksandspencer.com/ozone-skinny-denim-jeans/p/p22469385,unisex>bottomwear>jeans>skinny
P22357542,Navy Tailored Fit Wool Waistcoat,http://www.marksandspencer.com/pure-wool-5-button-waistcoat/p/p22357542,unisex>outerwear>jackets&coats>waist_coats
P22290689,Floral Print Chiffon Camisole & Shorts Set,http://www.marksandspencer.com/floral-print-chiffon-camisole-and-shorts-set/p/p22290689,women>lingerie>camisoles
P22363197,"3 Piece Waistcoat, Shirt & Cravat Outfit (1-10 Years)",http://www.marksandspencer.com/3-piece-waistcoat-shirt-and-cravat-outfit-1-10-years-/p/p22363197,kids>outfits>others
P22394842,Firm Control Magicwear&trade; Strapless Body B-E,http://www.marksandspencer.com/firm-control-magicwear-strapless-b-e-body/p/p22394842,women>topwear>bodysuits
P60100467,Senior Boys' Slim Fit Blazer,http://www.marksandspencer.com/senior-boys-slim-fit-blazer-with-triple-action-stormwear/p/p60100467,boys>outerwear>jackets&coats>blazers
P22292047,Lace Padded Strapless Bra A-E,http://www.marksandspencer.com/all-over-floral-lace-bandeau-strapless-a-d-bra/p/p22292047,women>lingerie>bras
P60166013,Leather Cross Strap Mule Shoes,http://www.marksandspencer.com/leather-cross-strap-mule-shoes/p/p60166013,unisex>shoes>others
P60105347,2 Pack Senior Boys' Skinny Fit Shirts,http://www.marksandspencer.com/senior-boys-2-pack-cotton-blend-shirt/p/p60105347,boys>topwear>shirts
