ext_id,title,link,msd_ontology_with_link,msd_ontology_with_title,cp_ontology_with_link,cp_ontology_with_title
P60175210,Stiletto Heel Jewel Ankle Strap Sandals,http://www.marksandspencer.com/stiletto-heel-jewel-ankle-strap-sandals/p/p60175210,NA>shoes>sandals,NA>shoes>sandals,NA>shoes>sandals,NA>shoes>sandals
P60143809,Longer Length Petal Hem Dress (1-16 Years),http://www.marksandspencer.com/petal-hem-dress-1-16-years-/p/p60143809,NA>dresses>others,NA>dresses>others,NA>dresses>others,NA>dresses>others
P60163486,Stiletto Heel Jewelled Bow Sandals,http://www.marksandspencer.com/stiletto-heel-jewelled-bow-sandals/p/p60163486,NA>shoes>sandals,NA>shoes>sandals,NA>shoes>sandals,NA>shoes>sandals
P60130509,Digital Print Crop Top With Cool Comfort&trade; (8-16 Years),http://www.marksandspencer.com/digital-print-cropped-top-8-16-years-/p/p60130509,NA>topwear>others,NA>topwear>cropped,NA>topwear>others,NA>topwear>cropped
P60136062,Leather Crescent Cross Body Bag,http://www.marksandspencer.com/crescent-cross-body-bag/p/p60136062,NA>bags>crossbody,NA>bags>crossbody,NA>bags>crossbody,NA>bags>crossbody
P60135662,Linen Rich Printed Wide Leg Trousers,http://www.marksandspencer.com/linen-rich-floral-print-flared-trousers/p/p60135662,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers
P60127363,Pure Merino Wool Cardigan,http://www.marksandspencer.com/pure-merino-wool-cardigan/p/p60127363,NA>outerwear>cardigans,NA>outerwear>cardigans,NA>outerwear>cardigans,NA>outerwear>cardigans
P60159280,Cotton Rich Tie Side Double Layer T-Shirt,http://www.marksandspencer.com/cotton-rich-tie-side-long-sleeve-t-shirt/p/p60159280,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts
P60157803,Wedge Heel Textured Crossover Sandals,http://www.marksandspencer.com/wedge-heel-textured-crossover-sandals/p/p60157803,NA>shoes>heels>wedges,NA>shoes>heels>wedges,NA>shoes>heels>wedges,NA>shoes>heels>wedges
P60147276,Wide Leg Trousers,http://www.marksandspencer.com/wide-leg-trousers/p/p60147276,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers
P60143978,Pure Cotton Striped Polo Shirt,http://www.marksandspencer.com/pure-cotton-striped-polo-shirt/p/p60143978,NA>topwear>shirt,NA>topwear>shirt,NA>topwear>shirt,NA>topwear>shirt
P60131848,Zipped Pocket Straight Leg Trousers,http://www.marksandspencer.com/zipped-pocket-trousers/p/p60131848,NA>bottomwear>pants>trousers,NA>bottomwear>pants>straight_leg,NA>bottomwear>pants>trousers,NA>bottomwear>pants>straight_leg
P60137299,Pure Cotton Baker Boy Hat,http://www.marksandspencer.com/baker-boy-hat/p/p60137299,boys>accessories>hats>others,boys>accessories>hats>others,boys>accessories>hats>others,boys>accessories>hats>others
P60154252,Cotton Rich Shorts (3-16 Years),http://www.marksandspencer.com/cotton-rich-shorts-3-16-years-/p/p60154252,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P60127274,Embroidered Non-Padded Full Cup Bra B-E,http://www.marksandspencer.com/all-over-embroidered-full-cup-bra-b-e/p/p60127274,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P60157695,Lace Non-Wired Plunge Bra A-E,http://www.marksandspencer.com/lace-padded-plunge-bra-a-e/p/p60157695,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P60155287,Pure Cotton Pointelle Cardigan,http://www.marksandspencer.com/pure-cotton-pointelle-cardigan/p/p60155287,NA>outerwear>cardigans,NA>outerwear>cardigans,NA>outerwear>cardigans,NA>outerwear>cardigans
P60151184,Lace Trim Midi Knickers,http://www.marksandspencer.com/lace-trim-midi-knickers/p/p60151184,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P60128409,3 Packs Pure Cotton Boxers,http://www.marksandspencer.com/3-packs-pure-cotton-boxers/p/p60128409,NA>underwear_&_socks>underwear,NA>underwear_&_socks>underwear,NA>underwear_&_socks>underwear,NA>underwear_&_socks>underwear
P60157709,Lace Non-Padded Bralet,http://www.marksandspencer.com/lace-non-padded-bralet/p/p60157709,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P60149209,Seamfree Assorted Crop Tops (6-16 Years),http://www.marksandspencer.com/seamfree-assorted-crop-tops-6-16-years-/p/p60149209,NA>topwear>cropped,NA>topwear>cropped,NA>topwear>cropped,NA>topwear>cropped
P60161078,PETITE Jersey Half Sleeve Swing Dress,http://www.marksandspencer.com/petite-jersey-half-sleeve-swing-dress/p/p60161078,NA>dresses>others,NA>dresses>others,NA>dresses>others,NA>dresses>others
P60126497,Sumptuously Soft Padded Full Cup T-Shirt Bra A-E,http://www.marksandspencer.com/sumptuously-soft-non-wired-full-cup-bra-a-e/p/p60126497,NA>lingerie>bras,NA>topwear>tshirts,NA>lingerie>bras,NA>topwear>tshirts
P60162808,Cotton Rich Star Wars&trade; T-Shirt (3-14 Years),http://www.marksandspencer.com/cotton-rich-star-wars-t-shirt-3-14-years-/p/p60162808,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts
P60145785,Lace Trim Printed High Leg knickers,http://www.marksandspencer.com/lace-trim-printed-high-leg-knickers/p/p60145785,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P60144435,Additional Length Straight Leg Jeans (3-16 Years),http://www.marksandspencer.com/cotton-rich-skinny-jeans-3-16-years-/p/p60144435,NA>bottomwear>jeans>skinny,NA>bottomwear>pants>straight_leg,NA>bottomwear>jeans>skinny,NA>bottomwear>pants>straight_leg
P60139558,Kids’ Water Repellent Rain Hat (3 Months - 6 Years),http://www.marksandspencer.com/kids-water-repellent-rain-hat/p/p60139558,NA>accessories>hats>others,NA>accessories>hats>others,NA>accessories>hats>others,NA>accessories>hats>others
P60157413,Pure Silk Floral Print Scarf,http://www.marksandspencer.com/pure-silk-floral-print-scarf/p/p60157413,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves
P60128298,5 Pairs of Cotton Rich Socks (1-14 Years),http://www.marksandspencer.com/5-pairs-of-cotton-rich-socks-1-14-years-/p/p60128298,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks
P60151896,Floral Print Scarf,http://www.marksandspencer.com/floral-print-scarf/p/p60151896,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves
P60136939,Multi Disc Layered Necklace,http://www.marksandspencer.com/multi-disc-layered-necklace/p/p60136939,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces
P60159196,Pure Cotton Parrot Print Pyjama Set,http://www.marksandspencer.com/pure-cotton-printed-short-sleeve-pyjama-set/p/p60159196,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama
P60140344,Pure Cotton Easy to Iron Tailored Fit Shirt,http://www.marksandspencer.com/pure-cotton-easy-to-iron-tailored-fit-shirt/p/p60140344,NA>topwear>shirts,NA>topwear>shirts,NA>topwear>shirts,NA>topwear>shirts
P60128058,Supima&reg; Cotton Tailored Fit Shirt,http://www.marksandspencer.com/supima-cotton-tailored-fit-shirt/p/p60128058,NA>topwear>shirts,NA>topwear>shirts,NA>topwear>shirts,NA>topwear>shirts
P60146450,Kids’ Freshfeet&trade; Boat Shoes (5 Small - 12 Small),http://www.marksandspencer.com/kids-suede-freshfeet-boat-shoes/p/p60146450,NA>shoes>others,NA>shoes>others,NA>shoes>others,NA>shoes>others
P60159972,Pure Cotton Pineapple Print Pyjama Set,http://www.marksandspencer.com/pure-cotton-printed-short-sleeve-pyjama-set/p/p60159972,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama
P60155159,Textured Longline Cardigan,http://www.marksandspencer.com/textured-longline-cardigan/p/p60155159,NA>outerwear>cardigans,NA>outerwear>cardigans,NA>outerwear>cardigans,NA>outerwear>cardigans
P60143294,Cross Pave Bracelet,http://www.marksandspencer.com/cross-pave-bracelet/p/p60143294,NA>accessories>jewelry>bracelets&bangles,NA>accessories>jewelry>bracelets&bangles,NA>accessories>jewelry>bracelets&bangles,NA>accessories>jewelry>bracelets&bangles
P60147690,Glass Chain Collar Necklace,http://www.marksandspencer.com/glass-chain-collar-necklace/p/p60147690,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces
